AAF	AIGLE AZUR - France	AIGLE AZUR
SQC	SINGAPORE AIRLINES CARGO PTE LTD - Singapore	SINGCARGO
SRK	SKYWORK AIRLINES AG - Switzerland	SKYFOX
STK	AEROPAC - United States of America	SAT PAK
SVA	SAUDI ARABIAN AIRLINES - Saudi Arabia	SAUDIA
SVR	URAL AIRLINES - Russian Federation	SVERDLOVSK AIR
SWR	SWISS INTERNATIONAL AIR LINES LTD - Switzerland	SWISS
SWT	SWIFTAIR S.A. - Spain	SWIFT
SWU	SWISS EUROPEAN AIR LINES LTD - Switzerland	EUROSWISS
SXD	SUNEXPRESS DEUTSCHLAND GMBH, KELSTERBACH - Germany	SUNRISE
SXS	GUNES EKSPRES HAVACILIK A.S. (SUNEXPRESS) - Turkey	+
SYR	SYRIAN ARAB AIRLINES - Syrian Arab Republic	SYRIANAIR
TAE	TRANSPORTES AEREOS MILITARES ECUATORIANOS C.A. (TAME) - Ecuador	TAME
TAI	TACA INTERNATIONAL AIRLINES S.A. - El Salvador	TACA
TAM	TAM - LINHAS AEREAS S.A. - Brazil	TAM
TAO	TRANSPORTES AEROMAR - Mexico	TRANS-AEROMAR
TAP	TRANSPORTES AEREOS PORTUGUESES, E.P. - Portugal	AIR PORTUGAL
TAR	TUNIS AIR - SOCIETE TUNISIENNE DE L'AIR - Tunisia	TUNAIR
TAY	TNT AIRWAYS S.A. - Belgium	QUALITY
TCV	TRANSPORTES AEREOS DE CABO VERDE - TACV - Cabo Verde	CABOVERDE
TCW	THOMAS COOK AIRLINES BELGIUM N.V. - Belgium	THOMAS COOK
TCX	THOMAS COOK AIRLINES LTD - United Kingdom of Great Britain and Northern Ireland	KESTREL
TDR	TRADE AIR - Croatia	TRADEAIR
TGZ	GEORGIAN AIRWAYS - Georgia	TAMAZI
THA	THAI AIRWAYS INTERNATIONAL LTD. - Thailand	THAI
THT	AIR TAHITI NUI - France	TAHITI AIRLINES
THY	TURK HAVA YOLLARI (TURKISH AIRLINES CO.) - Turkey	TURKISH
TOM	THOMSON AIRWAYS LTD - United Kingdom of Great Britain and Northern Ireland	TOMSON
TPC	AIR CALEDONIE - France	AIRCAL
TPU	TRANS AMERICAN AIRLINES S.A. - TRANS AM - Peru	TRANS PERU
TSC	AIR TRANSAT A.T. INC. - Canada	AIR TRANSAT
TSG	TRANS-AIR-CONGO - Congo	TRANS-AIR-CONGO
TUI	TUIFLY GMBH, LANGENHAGEN - Germany	TUI JET
TUS	TRUSTCO GROUP INTERNATIONAL (PTY) LTD - Namibia	TRUSTCO
TVS	TRAVEL SERVIS - Czech Republic	SKYTRAVEL
TWB	T'WAY AIR CO., LTD - Republic of Korea	TEEWAY
TWI	TAILWIND HAVAYOLLARI A.S. - Turkey	TAILWIND
UAE	EMIRATES - United Arab Emirates	EMIRATES
UAL	UNITED AIRLINES INC. - United States of America	UNITED
UCA	COMMUTAIR (PLATTSBURGH, NY) - United States of America	COMMUTAIR
UDN	DNIEPROAVIA - Ukraine	DNIEPRO
UPS	UNITED PARCEL SERVICE COMPANY, (LOUISVILLE, KY) - United States of America	UPS
UTA	UTAIR AVIATION - Russian Federation	UTAIR
UTY	ALLIANCE AIRLINES PTY LTD - Australia	UNITY
UZB	UZBEKISTAN HAVO JULLARY - UZBEKISTAN AIRWAYS - Uzbekistan	UZBEK
VAU	V AUSTRALIA - Australia	VEE-OZ
VBW	AIR BURKINA - Burkina Faso	BURKINA
VIR	VIRGIN ATLANTIC - United Kingdom of Great Britain and Northern Ireland	VIRGIN
VJC	VIETJET AVIATION JOINT STOCK COMPANY - Viet Nam	VIETJETAIR
VLG	VUELING AIRLINES - Spain	VUELING
VOI	CONCESIONARIA VUELA COMPANIA DE AVIACION, S.A. DE C.V. - Mexico	VOLARIS
VOZ	VIRGIN BLUE - Australia	-
VRD	VIRGIN AMERICA, INC. (BURLINGAME, CA) - United States of America	REDWOOD
VSV	SCAT - Kazakhstan	VLASTA
VTA	AIR TAHITI - France	AIR TAHITI
WDL	WDL AVIATION (KOLN) - Germany	WDL
WHT	WHITE - Portugal	WHITEJET
WIF	WIDEROE'S FLYVESELSKAP A/S - Norway	WIDEROE
WJA	WESTJET AIRLINES LTD - Canada	WESTJET
WON	WING ABADI AIRLINES, PT. - Indonesia	WINGS ABADI
WRC	WIND ROSE AVIATION COMPANY LTD - Ukraine	WIND ROSE
WZZ	WIZZ AIR HUNGARY LTD - Hungary	WIZZAIR
XAX	AIRASIA X SDN BHD - Malaysia	XANADU
XLF	XL AIRWAYS FRANCE - France	STARWAY
YZR	YANGTZE RIVER EXPRESS AIRLINES CO., LTD - China	YANGTZE RIVER
